abacarus,hystrix
abgrallaspis,ithacae
abia,inflata
acalitus,essigi
acalitus,gossypii
acalitus,vaccinii
acalymma,trivittatum
acalymma,vittatum
acanthocinus,princeps
acanthococcus,carolinae
acanthococcus,
acantholyda,erythrocephala
acanthomyops,claviger
acanthomyops,interjectus
acanthoscelides,obtectus
acarapis,woodi
acarus,siro
aceratagallia,sanguinolenta
aceria,aloinis
aceria,caryae
aceria,cynodoniensis
aceria,erinea
aceria,fica
aceria,litchii
aceria,mangiferae
aceria,sheldoni
aceria,tosichella
achaea,janata
achatina,fulica
achatodes,zeae
acheta,domesticus
achroia,grisella
achyra,rantalis
acinia,picturata
acinopterus,angulatus
acizzia,uncatoides
acleris,gloverana
acleris,minuta
acleris,variana
acrobasis,betulella
acrobasis,comptoniella
acrobasis,demotella
acrobasis,indigenella
acrobasis,juglandis
acrobasis,nuxvorella
acrobasis,vaccinii
acrolepiopsis,assectella
acronicta,americana
acronicta,lepusculina
acronicta,oblinita
acrosternum,hilare
actebia,fennica
actias,luna
aculops,cannibicola
aculops,lycopersici
aculus,fockeui
aculus,schlechtendali
acyrthosiphon,caraganae
acyrthosiphon,kondoi
acyrthosiphon,pisum
adalia,bipunctata
adelges,abietis
adelges,cooleyi
adelges,piceae
adelges,tsugae
adelphocoris,lineolatus
adelphocoris,rapidus
adoretus,sinicus
aedes,aboriginis
aedes,aegypti
aedes,albopictus
aedes,cantator
aedes,sierrensis
aedes,sollicitans
aedes,squamiger
aedes,sticticus
aedes,triseriatus
aedes,vexans
aeroglyphus,robustus
aethes,rutilana
aethina,tumida
agasphaerops,nigra
agonoxena,argaula
agrilus,anxius
agrilus,bilineatus
agrilus,coxalis
agrilus,cuprescens
agrilus,liragus
agrilus,planipennis
agrilus,quercicola
agrilus,ruficollis
agrilus,sinuatus
agrilus,sulcicollis
deroceras,reticulatum
agriotes,lineatus
agriotes,mancus
agriphila,vulgivagella
agrius,cingulata
agromyza,frontella
agromyza,parvicornis
agrotis,crinigera
agrotis,gladiaria
agrotis,ipsilon
agrotis,malefida
agrotis,orthogonia
ahasverus,advena
alabama,argillacea
alaus,oculatus
aleurocanthus,spiniferus
aleurocanthus,woglumi
aleurodicus,rugioperculatus
aleuroglyphus,ovatus
aleurothrixus,floccosus
aleyrodes,shizuokensis
algarobius,bottimeri
allantus,cinctus
alniphagus,aspericollis
alphitobius,diaperinus
alphitobius,laevigatus
alphitophagus,bifasciatus
alsophila,pometaria
altica,ambiens
altica,canadensis
altica,carinata
altica,chalybea
altica,sylvia
alypia,octomaculata
amblyomma,americanum
amblyomma,cajennense
amblyomma,maculatum
amblyomma,tuberculatum
ametastegia,glabrata
ametastegia,pallipes
amorbia,emigratella
ampeloglypter,sesostris
amphicerus,bicaudatus
amphicerus,cornutus
ampulex,compressa
amyelois,transitella
amyna,natalis
anabrus,simplex
anagrapha,falcifera
anaphothrips,obscurus
anaphothrips,swezeyi
anarsia,lineatella
anarta,trifolii
anasa,armigera
anasa,tristis
anastrepha,ludens
anastrepha,obliqua
anastrepha,pallens
anastrepha,suspensa
anaticola,anseris
anaticola,crassicornis
anax,junius
anax,strenuus
ancylis,comptana
anelaphus,villosus
anisomorpha,buprestoides
anisota,senatoria
anisota,stigma
anisota,virginiensis
anobium,punctatum
anocentor,nitens
anomala,oblivia
anomala,orientalis
anomoea,laticlavia
anopheles,quadrimaculatus
anoplolepis,gracilipes
anoplophora,chinensis
anoplophora,glabripennis
anormenis,antillarum
antheraea,polyphemus
anthonomus,eugenii
anthonomus,grandis
anthonomus,grandis
anthonomus,musculus
anthonomus,quadrigibbus
anthonomus,signatus
anthrenus,flavipes
anthrenus,scrophulariae
anthrenus,verbasci
antianthe,expansa
anticarsia,gemmatalis
antispila,nysaefoliella
antonina,graminis
aonidiella,aurantii
aonidiella,citrina
aonidiella,inornata
apamea,amputatrix
apamea,devastator
aphaenogaster,araneoides
aphelinus,lapisligni
aphis,craccivora
aphis,fabae
aphis,forbesi
aphis,glycines
aphis,gossypii
aphis,hederae
aphis,illinoisensis
aphis,nasturtii
aphis,nerii
aphis,pomi
aphis,spiraecola
aphis,viburniphila
aphomia,gularis
aphrophora,cribrata
aphrophora,saratogensis
apion,
apion,antiquum
apion,longirostre
apion,ulicis
apis,mellifera
apodemia,mormo
apomecyna,saltator
aposthonia,oceania
araecerus,cumingi
araecerus,fasciculatus
araecerus,levipennis
archips,argyrospila
archips,cerasivorana
archips,fervidana
archips,mortuana
archips,semiferanus
argas,persicus
arge,pectoralis
argiope,aurantia
argiope,trifasciata
argyresthia,conjugella
argyresthia,thuiella
argyrotaenia,franciscana
argyrotaenia,juglandana
argyrotaenia,mariana
argyrotaenia,pinatubana
argyrotaenia,quadrifasciana
argyrotaenia,velutinana
arhopalus,productus
arilus,cristatus
arion,ater
aroga,websteri
arrhenodes,minutus
asarcopus,palmarum
ascalapha,odorata
asphondylia,websteri
aspidiotus,destructor
aspidiotus,nerii
asterolecanium,pustulans
asterolecanium,variolosum
ataenius,spretulus
atherigona,soccata
athesapeuta,cyperi
atractomorpha,sinensis
atta,texana
attagenus,fasciatus
attagenus,unicolor
atteva,punctella
aulacaspis,rosae
aulacaspis,rosarum
aulacorthum,solani
aulocara,elliotti
autographa,californica
automeris,io
autoplusia,egena
bactericera,cockerelli
bactra,venosana
bactrocera,cucurbitae
bactrocera,dorsalis
bactrocera,oleae
balclutha,incisa
balclutha,saltuella
baliosus,nervosus
barbara,colfaxiana
baris,lepidii
baris,strenua
battus,philenor
bedellia,orchilella
bedellia,somnulentella
bellura,densa
bemisia,giffardi
bemisia,tabaci
biston,betularia
blaesoxipha,
blastophaga,psenes
blatta,lateralis
blatta,orientalis
blattella,asahinai
blattella,germanica
blattella,lituricollis
blepharida,rhois
blepharidopterus,chlorionis
blepharomastix,ebulealis
blissus,insularis
blissus,leucopterus
blissus,leucopterus
blissus,occiduus
boisea,rubrolineata
boisea,trivittata
bombus,affinis
bombus,appositus
bombus,ashtoni
bombus,auricomus
bombus,balteatus
bombus,bimaculatus
bombus,borealis
bombus,californicus
bombus,citrinus
bombus,fernaldae
bombus,fervidus
bombus,flavifrons
bombus,franklini
bombus,fraternus
bombus,griseocollis
bombus,huntii
bombus,impatiens
bombus,insularis
bombus,melanopygus
bombus,mixtus
bombus,morrisoni
bombus,nevadensis
bombus,pensylvanicus
bombus,pensylvanicus
bombus,perplexus
bombus,rufocinctus
bombus,sandersoni
bombus,sitkensis
bombus,sylvicola
bombus,ternarius
bombus,terricola
bombus,vagans
bombus,vandykei
bombus,variabilis
bombus,vosnesenskii
bombyx,mori
boophilus,annulatus
boophilus,microplus
bothrocalvia,pupillata
bourletiella,hortensis
bovicola,bovis
bovicola,caprae
bovicola,crassipes
bovicola,equi
bovicola,ovis
brachycaudus,cardui
brachycaudus,persicae
brachycorynella,asparagi
brachypnoea,puncticollis
brachystola,magna
brachystola,magna
brevicoryne,brassicae
brevipalpus,lewisi
brevipalpus,obovatus
brevipalpus,phoenicis
brochymena,quadripustulata
bromius,obscurus
brooksetta,althaeae
bruchophagus,gibbus
bruchophagus,platypterus
bruchophagus,roddi
bruchus,brachialis
bruchus,pisorum
bruchus,rufimanus
brumoides,suturalis
bryobia,praetiosa
bryobia,rubrioculus
bucculatrix,ainsliella
bucculatrix,canadensisella
bucculatrix,thurberiella
buprestis,apricans
buprestis,aurulenta
byturus,unicolor
cacopsylla,buxi
cacopsylla,mali
cacopsylla,negundinis
cacopsylla,pyricola
cactoblastis,cactorum
cadra,cautella
cadra,figulilella
caenurgina,crassiuscula
caenurgina,erechtea
calepiterimerus,thujae
caliothrips,fasciatus
caliroa,cerasi
caliroa,quercuscoccineae
callidium,antennatum
calligrapha,scalaris
callirhopalus,bifasciatus
callophrys,sheridanii
callopistria,floridensis
callosamia,promethea
callosobruchus,maculatus
calomycterus,setarius
caloptilia,azaleella
caloptilia,cuculipennella
caloptilia,negundella
caloptilia,syringella
calosoma,calidum
calpodes,ethlius
calycomyza,humeralis
cameraria,cincinnatiella
cameraria,hamadryadella
camnula,pellucida
campanulotes,bidentatus
camponotus,atriceps
camponotus,chromaiodes
camponotus,pennsylvanicus
camponotus,variegatus
carpoglyphus,lactis
carpophilus,dimidiatus
carpophilus,hemipterus
carpophilus,lugubris
cartodere,constricta
carulaspis,juniperi
catastega,aceriella
cathartus,quadricollis
caulocampus,acericaulis
caulophilus,oryza
cecidomyia,resinicoloides
cecidophyopsis,ribis
cepaea,nemoralis
cephalonomia,waterstoni
cephus,cinctus
cephus,pygmaeus
cerataphis,orchidearum
ceratitis,capitata
ceratomia,amyntor
ceratomia,catalpae
ceratophyllus,gallinae
ceratophyllus,niger
cerodontha,dorsalis
ceroplastes,cirripediformis
ceroplastes,floridensis
ceroplastes,rubens
cerotoma,trifurcata
ceruaphis,viburnicola
ceutorhynchus,assimilis
ceutorhynchus,quadridens
ceutorhynchus,rapae
chaetocnema,confinis
chaetocnema,denticulata
chaetocnema,ectypa
